,name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
25,Pokemon Ruby/Pokemon Sapphire,8,2002,3,0,6.06,3.9,5.38,0.5,15.85,,,,,1,1
26,Brain Age 2: More Training in Minutes a Day,3,2005,4,0,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,0,0
27,Pokemon Black/Pokemon White,3,2010,3,0,5.51,3.17,5.65,0.8,15.14,,,,,1,1
28,Gran Turismo 3: A-Spec,6,2001,2,3,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,4,0
29,Call of Duty: Modern Warfare 3,4,2011,6,4,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,5,2
30,Pokémon Yellow: Special Pikachu Edition,2,1998,3,0,5.89,5.04,3.12,0.59,14.64,,,,,1,1
31,Call of Duty: Black Ops 3,9,2015,6,4,6.03,5.86,0.36,2.38,14.63,,,,,1,1
32,Call of Duty: Black Ops,4,2010,6,4,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,6,2
33,Pokemon X/Pokemon Y,10,2013,3,0,5.28,4.19,4.35,0.78,14.6,,,,,1,1
34,Call of Duty: Black Ops II,5,2012,6,4,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,6,2
35,Call of Duty: Black Ops II,4,2012,6,4,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,6,2
36,Call of Duty: Modern Warfare 2,4,2009,6,4,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,7,2
37,Call of Duty: Modern Warfare 3,5,2011,6,4,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,5,2
38,Grand Theft Auto III,6,2001,8,2,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,8,2
39,Super Smash Bros. Brawl,0,2008,9,0,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,9,3
40,Mario Kart 7,10,2011,2,0,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,10,0
41,Call of Duty: Black Ops,5,2010,6,4,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,6,2
42,Grand Theft Auto V,9,2014,8,2,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,3,2
43,Animal Crossing: Wild World,3,2005,7,0,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,0,0
44,Halo 3,4,2007,6,1,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,11,2
45,Super Mario 64,11,1996,1,0,6.91,2.85,1.91,0.23,11.89,,,,,1,1
46,Pokemon HeartGold/Pokemon SoulSilver,3,2009,8,0,4.34,2.71,3.96,0.76,11.77,,,,,1,1
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,10,2014,3,0,4.35,3.49,3.1,0.74,11.68,,,,,1,1
48,Gran Turismo 4,6,2004,2,3,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,4,0
49,Super Mario Galaxy,0,2007,1,0,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,0,0
50,Super Mario Land 2: 6 Golden Coins,2,1992,10,0,6.16,2.04,2.69,0.29,11.18,,,,,1,1
51,Grand Theft Auto IV,4,2008,8,2,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,3,2
52,Gran Turismo,12,1997,2,3,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,4,0
53,Super Mario 3D Land,10,2011,1,0,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,0,0
54,Gran Turismo 5,5,2010,2,3,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,4,0
55,Call of Duty: Modern Warfare 2,5,2009,6,4,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,7,2
56,Super Mario All-Stars,7,1993,1,0,5.99,2.15,2.12,0.29,10.55,,,,,1,1
57,Grand Theft Auto IV,5,2008,8,2,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,3,2
58,Pokemon FireRed/Pokemon LeafGreen,8,2004,3,0,4.34,2.65,3.15,0.35,10.49,,,,,1,1
59,Super Mario 64,3,2004,1,0,5.01,3.07,1.25,0.97,10.3,,,,,1,1
60,Call of Duty: Ghosts,4,2013,6,4,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,7,2
61,Just Dance 3,0,2011,5,5,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,12,4
62,New Super Mario Bros. 2,10,2012,1,0,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,0,0
63,Mario Kart 64,11,1996,2,0,5.55,1.94,2.23,0.15,9.87,,,,,1,1
64,Halo: Reach,4,2010,6,1,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,13,2
65,Final Fantasy VII,12,1997,3,3,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,14,3
66,Halo 4,4,2012,6,1,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,15,2
67,Gran Turismo 2,12,1999,2,3,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,4,3
68,Just Dance 2,0,2010,5,5,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,12,4
69,Call of Duty: Ghosts,5,2013,6,4,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,7,2
70,Call of Duty 4: Modern Warfare,4,2007,6,4,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,7,2
71,Donkey Kong Country,7,1994,1,0,4.36,1.71,3.0,0.23,9.3,,,,,1,1
72,Minecraft,4,2013,5,1,5.7,2.65,0.02,0.81,9.18,,,,,1,1
73,Animal Crossing: New Leaf,10,2012,7,0,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,0,0
74,Mario Party DS,3,2007,5,0,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,16,0
75,The Elder Scrolls V: Skyrim,4,2011,3,6,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,17,2
76,Super Mario Kart,7,1992,2,0,3.54,1.24,3.81,0.18,8.76,,,,,1,1
77,FIFA 16,9,2015,0,7,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,18,0
78,Halo 2,13,2004,6,1,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,19,2
79,Wii Party,0,2010,5,0,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,20,0
80,Mario Party 8,0,2007,5,0,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,21,0
81,FIFA Soccer 13,5,2012,8,7,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,22,0
82,GoldenEye 007,11,1997,6,0,5.8,2.01,0.13,0.15,8.09,,,,,1,1
83,Pokemon Black 2/Pokemon White 2,3,2012,3,0,2.79,1.72,3.14,0.41,8.07,,,,,1,1
84,Final Fantasy X,6,2001,3,3,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,14,3
85,The Sims 3,14,2009,7,7,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,23,3
86,Mario & Sonic at the Olympic Games,0,2007,0,8,2.57,3.86,0.66,0.91,7.99,,,,,1,1
87,Star Wars Battlefront (2015),9,2015,6,7,2.99,3.49,0.22,1.28,7.98,,,,,1,1
88,Final Fantasy VIII,12,1999,3,9,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,14,3
89,Pac-Man,15,1982,4,10,7.28,0.45,0.0,0.08,7.81,,,,,1,1
90,Pokémon Platinum Version,3,2008,3,0,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,24,0
91,Grand Theft Auto: Liberty City Stories,16,2005,8,2,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,25,2
92,Call of Duty: Advanced Warfare,9,2014,6,4,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,26,2
93,The Legend of Zelda: Ocarina of Time,11,1998,8,0,4.1,1.89,1.45,0.16,7.6,,,,,1,1
94,FIFA 17,9,2016,0,7,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,27,0
95,Crash Bandicoot 2: Cortex Strikes Back,12,1997,1,3,3.78,2.17,1.31,0.31,7.58,,,,,1,1
96,Super Smash Bros. for Wii U and 3DS,10,2014,9,0,3.27,1.37,2.43,0.48,7.55,,,,,1,1
97,Super Mario Galaxy 2,0,2010,1,0,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,28,0
98,Super Mario Bros. 2,1,1988,1,0,5.39,1.18,0.7,0.19,7.46,,,,,1,1
99,Call of Duty: Black Ops 3,17,2015,6,4,4.59,2.11,0.01,0.68,7.39,,,,,1,1
100,Call of Duty: World at War,4,2008,6,4,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,6,2
101,Battlefield 3,4,2011,6,7,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,29,2
102,Need for Speed Underground,6,2003,2,7,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,30,0
103,Just Dance,0,2009,5,5,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,31,4
104,Battlefield 3,5,2011,6,7,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,29,2
105,Fallout 4,9,2015,3,6,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,17,2
106,Tekken 3,12,1998,9,3,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,32,3
107,The Legend of Zelda: Twilight Princess,0,2006,8,0,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,0,3
108,Pokemon Sun/Moon,10,2016,3,0,2.98,1.45,2.26,0.45,7.14,,,,,1,1
109,Crash Bandicoot 3: Warped,12,1998,1,3,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,33,0
110,Mario Kart 8,18,2014,2,0,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,0,0
111,Super Smash Bros. Melee,19,2001,9,0,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,34,3
112,Mario Kart: Double Dash!!,19,2003,2,0,4.12,1.77,0.87,0.19,6.95,,,,,1,1
113,Need for Speed Underground 2,6,2004,2,7,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,35,0
114,Medal of Honor: Frontline,6,2002,6,7,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,36,3
115,Crash Bandicoot,12,1996,1,3,3.23,2.35,0.94,0.3,6.82,,,,,1,1
116,Just Dance 4,0,2012,5,5,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,12,4
117,Gears of War 2,4,2008,6,1,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,37,2
118,Uncharted 3: Drake's Deception,5,2011,8,3,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,33,3
119,Zumba Fitness,0,2010,0,11,3.45,2.59,0.0,0.66,6.71,,,,,38,0
120,Call of Duty 4: Modern Warfare,5,2007,6,4,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,7,2
121,Uncharted 2: Among Thieves,5,2009,8,3,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,33,3
122,FIFA 12,5,2011,0,7,0.84,4.3,0.11,1.39,6.65,,,,,1,1
123,Big Brain Academy,3,2005,5,0,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,0,0
124,The Legend of Zelda,1,1986,8,0,3.74,0.93,1.69,0.14,6.51,,,,,1,1
125,Red Dead Redemption,5,2010,8,2,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,39,2
126,FIFA 14,5,2013,0,7,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,35,0
127,Assassin's Creed III,5,2012,8,5,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,12,2
128,Donkey Kong Country Returns,0,2010,1,0,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,40,0
129,Halo: Combat Evolved,13,2001,6,1,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,19,2
130,The Elder Scrolls V: Skyrim,5,2011,3,6,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,17,2
131,Pokémon Emerald Version,8,2004,3,0,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,24,0
132,Kingdom Hearts,6,2002,3,3,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,14,0
133,Pokémon Crystal Version,2,2000,3,0,2.55,1.56,1.29,0.99,6.39,,,,,1,1
134,Halo 3: ODST,4,2009,6,1,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,11,2
135,Red Dead Redemption,4,2010,8,2,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,39,2
136,Super Mario Sunshine,19,2002,1,0,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,0,0
137,Street Fighter II: The World Warrior,7,1992,9,12,2.47,0.83,2.87,0.12,6.3,,,,,1,1
138,World of Warcraft,14,2004,3,4,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,41,3
139,Driver,12,1999,8,13,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,42,3
140,Gears of War 3,4,2011,6,1,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,37,2
141,Kinect Sports,4,2010,0,1,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,43,4
142,Gears of War,4,2006,6,1,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,37,2
143,FIFA 15,9,2014,0,7,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,18,0
144,Metal Gear Solid 2: Sons of Liberty,6,2001,8,14,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,44,2
145,Sonic the Hedgehog 2,20,1992,1,8,4.47,1.2,0.16,0.19,6.03,,,,,1,1
146,Metal Gear Solid,12,1998,8,14,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,44,2
147,Metal Gear Solid 4: Guns of the Patriots,5,2008,8,14,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,45,2
148,Final Fantasy XII,6,2006,3,15,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,46,3
149,The Last of Us,5,2013,8,16,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,33,2
150,LittleBigPlanet,5,2008,1,3,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,47,0
151,Resident Evil 2,12,1998,8,17,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,48,2
152,Dragon Quest IX: Sentinels of the Starry Skies,3,2009,3,0,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,49,4
153,Tekken 2,12,1996,9,3,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,32,3
154,Destiny,9,2014,6,4,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,11,3
155,LEGO Star Wars: The Complete Saga,0,2007,8,18,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,50,4
156,Cooking Mama,3,2006,7,11,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,51,0
157,Tetris,1,1988,4,0,2.97,0.69,1.81,0.11,5.58,,,,,1,1
158,Super Smash Bros.,11,1999,9,0,2.95,0.6,1.97,0.04,5.55,,,,,1,1
159,Assassin's Creed II,5,2009,8,5,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,52,2
160,Assassin's Creed,4,2007,10,5,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,52,2
161,Forza Motorsport 3,4,2009,2,1,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,53,0
162,Super Mario Advance,8,2001,1,0,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,0,0
163,Monster Hunter Freedom Unite,16,2008,3,12,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,48,3
164,Batman: Arkham City,5,2011,8,19,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,54,3
165,Grand Theft Auto V,17,2014,8,2,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,3,2
166,Mario Kart: Super Circuit,8,2001,2,0,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,55,0
167,Super Mario World,8,2001,1,0,3.21,1.11,0.95,0.2,5.46,,,,,1,1
168,Pokemon Stadium,11,1999,11,0,3.18,1.24,0.94,0.09,5.45,,,,,1,1
169,Crash Bandicoot: The Wrath of Cortex,6,2001,1,20,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,50,0
170,Call of Duty: World at War,5,2008,6,4,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,6,2
171,Uncharted 4: A Thief's End,9,2016,6,3,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,33,3
172,Dr. Mario,2,1989,4,0,2.18,0.96,2.0,0.2,5.34,,,,,1,1
173,Final Fantasy XIII,5,2009,3,15,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,46,3
174,Pokemon Pinball,2,1999,5,0,3.02,1.12,1.01,0.16,5.31,,,,,1,1
175,Final Fantasy IX,12,2000,3,9,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,14,3
176,Assassin's Creed III,4,2012,8,5,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,12,2
177,Final Fantasy X-2,6,2003,3,7,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,14,3
178,Donkey Kong 64,11,1999,1,0,3.33,0.79,1.09,0.06,5.27,,,,,1,1
179,Call of Duty: Advanced Warfare,17,2014,6,4,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,26,2
180,Minecraft,5,2014,5,3,2.03,2.37,0.0,0.87,5.26,,,,,1,1
181,Assassin's Creed II,4,2009,8,5,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,52,2
182,Tomb Raider II,12,1997,8,21,2.3,2.46,0.2,0.28,5.24,85.0,13.0,,,56,3
183,Madden NFL 2004,6,0,0,7,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,57,0
184,Tomodachi Life,10,2013,7,0,0.97,2.11,1.9,0.24,5.23,,,,,1,1
185,New Super Mario Bros. U,18,2012,1,0,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,0,0
186,Dragon Quest VIII: Journey of the Cursed King,6,2004,3,15,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,49,3
187,Super Mario Bros. 3,8,2003,1,0,2.93,1.25,0.83,0.2,5.2,,,,,1,1
188,Professor Layton and the Curious Village,3,2007,4,0,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,49,0
189,Super Mario Land 3: Wario Land,2,1994,1,0,2.49,0.98,1.57,0.15,5.19,,,,,1,1
190,FIFA Soccer 13,4,2012,8,7,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,22,0
191,Donkey Kong Country 2: Diddy's Kong Quest,7,1995,1,0,2.1,0.74,2.2,0.11,5.15,,,,,1,1
192,Diablo III,14,2012,3,4,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,41,2
193,Medal of Honor: Rising Sun,6,2003,6,7,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,36,3
194,Kirby's Dream Land,2,1992,1,0,2.71,0.61,1.7,0.11,5.13,,,,,1,1
195,Microsoft Flight Simulator,14,1996,7,1,3.22,1.69,0.0,0.2,5.12,,,,,1,1
196,Guitar Hero II,6,2006,5,22,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,58,3
197,Fable III,4,2010,3,1,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,59,2
198,Mario & Sonic at the Olympic Games,3,2008,0,8,1.63,2.45,0.44,0.57,5.09,,,,,1,1
199,Resident Evil 5,5,2009,8,12,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,48,2
200,The Legend of Zelda: Phantom Hourglass,3,2007,8,0,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,0,0
201,Super Mario Bros.,2,1999,1,0,3.4,1.3,0.15,0.22,5.07,,,,,1,1
202,FIFA Soccer 11,5,2010,0,7,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,18,0
203,Resident Evil,12,1996,8,17,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,48,2
204,Grand Theft Auto: Vice City Stories,16,2006,8,2,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,25,2
205,Tony Hawk's Pro Skater,12,1999,0,4,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,60,3
206,Warzone 2100,12,1999,11,21,2.79,1.89,0.0,0.33,5.01,,,,,1,1
207,Spyro the Dragon,12,1998,1,3,3.36,1.36,0.07,0.21,5.0,,,,,1,1
208,Guitar Hero III: Legends of Rock,6,2007,5,4,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,61,3
209,Link's Crossbow Training,0,2007,6,0,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,0,3
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,3,2007,3,0,1.83,1.19,1.54,0.37,4.93,,,,,1,1
211,Fallout 3,4,2008,3,6,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,17,2
212,Uncharted: Drake's Fortune,5,2007,8,3,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,62,3
213,Madden NFL 06,6,2005,0,7,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,18,0
214,Diddy Kong Racing,11,1997,2,0,2.91,0.99,0.89,0.1,4.88,,,,,1,1
215,Monster Hunter Freedom 3,16,2010,3,12,0.0,0.0,4.87,0.0,4.87,,,,,1,1
216,Super Smash Bros. for Wii U and 3DS,18,2014,9,0,2.6,1.08,0.81,0.38,4.87,,,,,1,1
217,Dr. Mario,1,1990,4,0,2.62,0.6,1.52,0.1,4.85,,,,,1,1
218,StarCraft II: Wings of Liberty,14,2010,11,4,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,41,3
219,Assassin's Creed,5,2007,10,5,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,52,2
220,God of War III,5,2010,8,3,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,63,2
221,Crash Team Racing,12,1999,2,3,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,33,0
222,LEGO Star Wars: The Complete Saga,3,2007,8,18,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,64,0
223,Driver 2,12,2000,8,10,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,42,3
224,Batman: Arkham City,4,2011,8,19,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,54,3
225,The Last of Us,9,2014,8,3,1.88,2.0,0.07,0.77,4.71,,,,,1,1
226,The Simpsons: Hit & Run,6,2003,2,23,1.73,2.19,0.0,0.79,4.7,,,,,1,1
227,Tony Hawk's Pro Skater 2,12,2000,0,4,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,60,3
228,The Lord of the Rings: The Two Towers,6,2002,8,7,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,65,3
229,Tomb Raider,12,1996,8,21,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0,56,3
230,Animal Crossing: City Folk,0,2008,7,0,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,0,0
231,Uncharted: The Nathan Drake Collection,9,2015,8,3,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,66,3
